Ver1.3	226725420	StartFile	2/12/2021	9:33:03 AM	E:\BehavioralExperiments\Gerald\Horizon\RawData\021221\SoundData.txt	226725420
228119457	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	228119457
228119668	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	228119668
228134256	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228134256
228139431	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228139431
228139635	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	228139635
228153090	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228153090
228156157	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228156157
228156359	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	228156359
228167831	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228167831
228170537	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228170537
228170739	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	228170739
228184013	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228184013
228184216	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	228184216
228186782	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228186782
228186983	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	228186983
228198999	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228198999
228199203	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	228199203
228201645	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228201645
228201848	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	228201848
228213737	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228213737
228213942	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	228213942
228216503	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228216503
228216706	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	228216706
228229079	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228229079
228229283	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	228229283
228231726	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228231726
228231927	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	228231927
228245202	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228245202
228245406	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	228245406
228247849	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228247849
228248053	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	228248053
228260605	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228260605
228260808	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	228260808
228263866	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228263866
228264069	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	228264069
228276670	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228276670
228276876	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	228276876
228279978	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228279978
228280180	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	228280180
228293817	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228293817
228294022	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	228294022
228297187	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228297187
228297388	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	228297388
228309821	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228309821
228310026	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	228310026
228313009	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228313009
