Ver1.3	157187053	StartFile	8/21/2020	2:45:55 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\082120B\SoundData.txt	157187053
158744879	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158744879
158745084	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	158745084
158748912	Triggered	4,42,43,44,45,46,	 NoSound	40	2	158748912
158749112	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	158749112
158759745	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158759745
158759950	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	158759950
158765514	Triggered	4,42,43,44,45,46,	 NoSound	40	2	158765514
158765716	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	158765716
158782601	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158782601
158782804	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	158782804
158787715	Triggered	6,47,48,49,50,51,	 NoSound	40	2	158787715
158793432	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158793432
158793635	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	158793635
158797342	Triggered	4,42,43,44,45,46,	 NoSound	40	2	158797342
158797543	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	158797543
158808112	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158808112
158808314	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	158808314
158814550	Triggered	4,42,43,44,45,46,	 NoSound	40	2	158814550
158814750	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	158814750
158823876	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158823876
158824079	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	158824079
158835848	Triggered	4,42,43,44,45,46,	 NoSound	40	2	158835848
158836049	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	158836049
158844813	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158844813
158845016	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	158845016
158851190	Triggered	6,47,48,49,50,51,	 NoSound	40	2	158851190
158864486	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158864486
158864690	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	158864690
158873513	Triggered	4,42,43,44,45,46,	 NoSound	40	2	158873513
158873714	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	158873714
158886868	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158886868
158887071	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	158887071
158891021	Triggered	4,42,43,44,45,46,	 NoSound	40	2	158891021
158891222	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	158891222
158899443	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158899443
158899659	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	158899659
158909009	Triggered	4,42,43,44,45,46,	 NoSound	40	2	158909009
158909210	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	158909210
158918460	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158918460
158918662	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	158918662
158926999	Triggered	4,42,43,44,45,46,	 NoSound	40	2	158926999
158927199	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	158927199
158936385	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158936385
158936597	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	158936597
158967130	Triggered	4,42,43,44,45,46,	 NoSound	40	2	158967130
158967331	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	158967331
158975794	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158975794
158975996	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	158975996
158980246	Triggered	4,42,43,44,45,46,	 NoSound	40	2	158980246
158980448	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	158980448
158989993	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158989993
158990205	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	158990205
158994926	Triggered	4,42,43,44,45,46,	 NoSound	40	2	158994926
158995127	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	158995127
159007682	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	159007682
159007882	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	159007882
159022604	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	159022604
159022808	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	159022809
159026093	Triggered	8,52,53,54,55,56,	 NoSound	40	2	159026093
159026295	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	159026295
